-- bus section
i, v(p.u.), theta(deg), bcs(MVAR at v = 1 p.u.)
253, 1.0, -11.827825314420991, 0.0
302, 1.0, -10.529303189171292, 0.0
175, 1.0, -9.355242630295262, 0.0
415, 1.0, -23.457250056534484, 0.0
39, 1.0, -13.30556529128841, 0.0
143, 1.0, -3.518230563674994, 0.0
112, 1.0, -17.54461759520084, 0.0
372, 1.0, -17.976292472884214, 0.0
34, 1.0, -16.844386344578027, 0.0
293, 1.0, -12.796182827268566, 0.0
421, 1.0, -22.897223554809937, 0.0
137, 1.0, -11.517786429448826, 0.0
55, 1.0, -10.584482517474342, 0.0
323, 1.0, -11.034330989949964, 0.0
17, 1.0, -0.0, 0.0
243, 1.0, -24.675952993729265, 0.0
318, 1.0, -10.556038387007748, 0.0
9, 1.0, -18.407375994580864, 0.0
172, 1.0, -12.207294686776285, 0.0
333, 1.0, -13.8226364687987, 0.0
363, 1.0, -13.798923029083381, 0.0
12, 1.0, -10.75525621411967, 0.0
192, 1.0, -13.543706049903333, 0.0
20, 1.0, -16.249451756329258, 0.0
292, 1.0, -23.2504932120349, 0.0
350, 1.0, -13.507827675912056, 0.0
252, 1.0, -13.864462894593176, 0.0
357, 1.0, -13.47658971006657, 0.0
341, 1.0, -12.687185161192618, 0.0
417, 1.0, -12.452961299839588, 0.0
462, 1.0, -14.144232342773355, 0.0
426, 1.0, -10.752965425452995, 0.0
14, 1.0, -3.508811663908249, 0.0
167, 1.0, -4.366538403768082, 0.0
127, 1.0, -3.9857987956585843, 0.0
96, 1.0, -6.187107591868286, 0.0
123, 1.0, -5.145838636813814, 0.0
456, 1.0, -19.6082769320375, 0.0
177, 1.0, -9.363333578291025, 0.0
254, 1.0, -11.827825314420991, 0.0
300, 1.0, -10.529303189171292, 0.0
257, 1.0, -11.827825314420991, 0.0
19, 1.0, -16.245959586006858, 0.0
179, 1.0, -23.704171512186836, 0.0
242, 1.0, -24.57956700512024, 0.0
396, 1.0, -4.476819081812898, 0.0
260, 1.0, -5.771938065570123, 0.0
495, 1.0, -14.209956130325978, 0.0
239, 1.0, -14.927479885375682, 0.0
35, 1.0, -13.316305014909966, 0.0
423, 1.0, -6.520542226423683, 0.0
317, 1.0, -7.082676846105797, 0.0
197, 1.0, -14.003685423060867, 0.0
131, 1.0, -13.826650814771487, 0.0
488, 1.0, -15.591982250367511, 0.0
401, 1.0, -6.043362331986106, 0.0
276, 1.0, -22.73626430020184, 0.0
316, 1.0, -7.079739671788717, 0.0
365, 1.0, -23.033124834575602, 0.0
458, 1.0, -21.635233321778852, 0.0
463, 1.0, -14.144232342773355, 0.0
494, 1.0, -13.49354086133831, 0.0
21, 1.0, -19.008909397406683, 0.0
263, 1.0, -22.436171790586886, 0.0
83, 1.0, -16.002627970785472, 0.0
244, 1.0, -11.547320408074048, 0.0
45, 1.0, -20.294306356913598, 0.0
295, 1.0, -14.426342096794565, 0.0
139, 1.0, -13.700652998996574, 0.0
181, 1.0, -11.903397888568568, 0.0
386, 1.0, -4.476819081812898, 0.0
368, 1.0, -6.520653627877802, 0.0
436, 1.0, -12.705774610874279, 0.0
440, 1.0, -7.648858851579788, 0.0
85, 1.0, -14.773625705544775, 0.0
413, 1.0, -10.385426524158001, 0.0
30, 1.0, -23.279696747651045, 0.0
3, 1.0, -24.16826238989769, 0.0
309, 1.0, -12.01442975095928, 0.0
105, 1.0, -14.4276603288454, 0.0
81, 1.0, -11.566482410983538, 0.0
400, 1.0, -12.498401903213162, 0.0
480, 1.0, -22.066508952828492, 0.0
482, 1.0, -22.380505420839917, 0.0
296, 1.0, -14.432671652915245, 0.0
27, 1.0, -14.413955229766444, 0.0
75, 1.0, -15.011294978436705, 0.0
392, 1.0, -4.476819081812898, 0.0
50, 1.0, -11.94597255664244, 0.0
460, 1.0, -13.48711704374164, 0.0
162, 1.0, -17.77468329064677, 0.0
63, 1.0, -23.510201317035733, 0.0
303, 1.0, -10.618665031118292, 0.0
92, 1.0, -6.16167062723526, 0.0
422, 1.0, -22.954478303142196, 0.0
208, 1.0, -12.55742648130588, 0.0
214, 1.0, -12.615351477394709, 0.0
120, 1.0, -11.938135470002283, 0.0
224, 1.0, -13.114321753653606, 0.0
87, 1.0, -6.857055741688737, 0.0
117, 1.0, -11.023264214590451, 0.0
255, 1.0, -11.827825314420991, 0.0
499, 1.0, -21.38315623511244, 0.0
178, 1.0, -9.360553721610012, 0.0
89, 1.0, -22.116303532811934, 0.0
275, 1.0, -7.518262478648373, 0.0
176, 1.0, -9.355242630295262, 0.0
182, 1.0, -11.998845549705026, 0.0
496, 1.0, -4.468905346617357, 0.0
225, 1.0, -13.555055683670323, 0.0
195, 1.0, -17.634011323605876, 0.0
286, 1.0, -10.031984069243885, 0.0
249, 1.0, -12.370078489901358, 0.0
485, 1.0, -22.262636445200346, 0.0
161, 1.0, -12.520423330494172, 0.0
442, 1.0, -7.648858851579788, 0.0
202, 1.0, -12.938788236115307, 0.0
346, 1.0, -24.18511675598004, 0.0
389, 1.0, -4.476819081812898, 0.0
459, 1.0, -4.5308136162192865, 0.0
465, 1.0, -13.944770690674243, 0.0
146, 1.0, -17.683371234319658, 0.0
142, 1.0, -9.014631428319849, 0.0
219, 1.0, -13.151802397092016, 0.0
256, 1.0, -11.827825314420993, 0.0
291, 1.0, -23.24037867424869, 0.0
80, 1.0, -10.218236491444763, 0.0
203, 1.0, -12.942476529489861, 0.0
308, 1.0, -12.006801643929625, 0.0
360, 1.0, -13.79892302908338, 0.0
432, 1.0, -13.121404922903634, 0.0
113, 1.0, -17.575777315173134, 0.0
110, 1.0, -7.515965389911802, 0.0
418, 1.0, -12.510890318146586, 0.0
492, 1.0, -11.740243192174207, 0.0
445, 1.0, -7.6188527026647055, 0.0
322, 1.0, -10.996757831165015, 0.0
431, 1.0, -13.109110955243532, 0.0
269, 1.0, -14.899479834005046, 0.0
157, 1.0, -15.974600900604278, 0.0
57, 1.0, -8.22467938075196, 0.0
165, 1.0, -4.990470584722272, 0.0
231, 1.0, -9.06039910985305, 0.0
384, 1.0, -10.596815532372394, 0.0
327, 1.0, -23.67177686524554, 0.0
173, 1.0, -12.20934028046228, 0.0
284, 1.0, -15.692326080724875, 0.0
200, 1.0, -19.633556410695018, 0.0
171, 1.0, -6.241783849839557, 0.0
233, 1.0, -21.61579708513544, 0.0
428, 1.0, -13.127099133031038, 0.0
345, 1.0, -24.122807904861165, 0.0
130, 1.0, -11.972647465101321, 0.0
273, 1.0, -14.944687831408302, 0.0
319, 1.0, -10.076369993985109, 0.0
478, 1.0, -12.8558136811906, 0.0
312, 1.0, -13.688903649679368, 0.0
15, 1.0, -5.242767927592291, 0.0
61, 1.0, -13.80604354201176, 0.0
67, 1.0, -9.694496778085734, 0.0
247, 1.0, -7.379291152082533, 0.0
108, 1.0, -14.189959076191068, 0.0
100, 1.0, -14.020357630517342, 0.0
344, 1.0, -14.878600269173537, 0.0
385, 1.0, -10.625966261075803, 0.0
457, 1.0, -21.635233321778852, 0.0
500, 1.0, -11.451020401626621, 0.0
46, 1.0, -15.395395284539841, 0.0
251, 1.0, -13.74533128936877, 0.0
444, 1.0, -7.648858851579788, 0.0
170, 1.0, -6.2275823296268005, 0.0
151, 1.0, -13.535829595968424, 0.0
248, 1.0, -12.370078489901358, 0.0
68, 1.0, -14.48562077904707, 0.0
56, 1.0, -10.585943782531219, 0.0
147, 1.0, -17.075007339742697, 0.0
454, 1.0, -22.185622568399573, 0.0
452, 1.0, -6.792735495727189, 0.0
76, 1.0, -7.608274279552307, 0.0
186, 1.0, -6.93289247604355, 0.0
342, 1.0, -14.876516103600022, 0.0
438, 1.0, -12.443253479809396, 0.0
180, 1.0, -23.723088695702053, 0.0
135, 1.0, -22.59994757716252, 0.0
262, 1.0, -19.69128430996072, 0.0
48, 1.0, -12.190091916056268, 0.0
103, 1.0, -12.388087657790663, 0.0
355, 1.0, -22.931454150488214, 0.0
393, 1.0, -4.476819081812898, 0.0
408, 1.0, -11.569082432096726, 0.0
32, 1.0, -14.375619736100576, 0.0
109, 1.0, -14.22126834111423, 0.0
264, 1.0, -19.69128430996072, 0.0
320, 1.0, -24.52422931644914, 0.0
217, 1.0, -11.306113289220608, 0.0
334, 1.0, -13.822964395229388, 0.0
405, 1.0, -11.0861105374168, 0.0
2, 1.0, -22.016825722324164, 0.0
183, 1.0, -7.520961116381515, 0.0
155, 1.0, -14.312107418768363, 0.0
51, 1.0, -12.190383441174381, 0.0
53, 1.0, -22.40892882398456, 0.0
106, 1.0, -14.128465053921046, 0.0
435, 1.0, -12.295158462156897, 0.0
489, 1.0, -11.775940612088476, 0.0
111, 1.0, -7.565114547929195, 0.0
141, 1.0, -8.857542495015274, 0.0
287, 1.0, -22.972997465813172, 0.0
93, 1.0, -13.634816626379159, 0.0
213, 1.0, -12.444144733364228, 0.0
278, 1.0, -22.743988049824306, 0.0
10, 1.0, -14.074052102297617, 0.0
340, 1.0, -12.663930596825553, 0.0
474, 1.0, -12.250588357964487, 0.0
356, 1.0, -13.424461605034372, 0.0
265, 1.0, -19.69128430996072, 0.0
215, 1.0, -12.688863260496193, 0.0
305, 1.0, -11.384760444176555, 0.0
443, 1.0, -7.648858851579788, 0.0
424, 1.0, -6.6702770775158475, 0.0
154, 1.0, -14.268916997058508, 0.0
321, 1.0, -24.731061610776464, 0.0
358, 1.0, -11.977347201059613, 0.0
49, 1.0, -11.982156450000437, 0.0
218, 1.0, -13.151551246672149, 0.0
5, 1.0, -6.747759542075429, 0.0
62, 1.0, -23.510201317035737, 0.0
196, 1.0, -18.489470619945884, 0.0
90, 1.0, -22.124191086619923, 0.0
234, 1.0, -21.69157714493185, 0.0
446, 1.0, -7.703411869707198, 0.0
404, 1.0, -13.341580619196945, 0.0
205, 1.0, -13.92042104476021, 0.0
237, 1.0, -14.444014772036281, 0.0
201, 1.0, -19.64419774263305, 0.0
311, 1.0, -11.70633930739058, 0.0
390, 1.0, -4.476819081812898, 0.0
315, 1.0, -14.465567707650877, 0.0
448, 1.0, -14.306022400590411, 0.0
298, 1.0, -9.774950027559374, 0.0
461, 1.0, -7.704687016455045, 0.0
366, 1.0, -23.120915014215573, 0.0
164, 1.0, -18.670507736656667, 0.0
419, 1.0, -12.306432150520253, 0.0
380, 1.0, -13.325204515104208, 0.0
86, 1.0, -14.789184360251552, 0.0
126, 1.0, -4.615937390815924, 0.0
152, 1.0, -14.39277245839023, 0.0
71, 1.0, -11.205475366756058, 0.0
37, 1.0, -8.179220685680315, 0.0
226, 1.0, -6.214747806251011, 0.0
399, 1.0, -12.47983726923532, 0.0
245, 1.0, -11.555376789801446, 0.0
469, 1.0, -13.847201246182346, 0.0
487, 1.0, -11.082680148663112, 0.0
266, 1.0, -22.512884615682417, 0.0
268, 1.0, -14.657282532772477, 0.0
6, 1.0, -6.75091477552733, 0.0
441, 1.0, -9.917959282141574, 0.0
125, 1.0, -4.162047057038686, 0.0
98, 1.0, -12.109432222893965, 0.0
473, 1.0, -5.81643731065461, 0.0
272, 1.0, -14.936760322760742, 0.0
379, 1.0, -10.827117295104728, 0.0
174, 1.0, -12.212136804362073, 0.0
187, 1.0, -22.193355311113976, 0.0
471, 1.0, -13.580961079134727, 0.0
493, 1.0, -13.49354086133831, 0.0
7, 1.0, -19.31087875670905, 0.0
361, 1.0, -13.79892302908338, 0.0
261, 1.0, -5.789802802757678, 0.0
194, 1.0, -16.907090115547984, 0.0
140, 1.0, -13.700816420188517, 0.0
486, 1.0, -22.445573943617774, 0.0
397, 1.0, -5.480898142542749, 0.0
337, 1.0, -11.675370736074319, 0.0
107, 1.0, -14.139780191406937, 0.0
102, 1.0, -12.357035862943006, 0.0
69, 1.0, -14.501681127085778, 0.0
354, 1.0, -22.90280489003235, 0.0
282, 1.0, -11.278094761889124, 0.0
97, 1.0, -12.070717397825014, 0.0
4, 1.0, -24.341038158287507, 0.0
221, 1.0, -13.629065017519249, 0.0
235, 1.0, -12.49527032432439, 0.0
212, 1.0, -12.368563493415722, 0.0
210, 1.0, -14.720703987664566, 0.0
369, 1.0, -5.677823538682738, 0.0
13, 1.0, -10.784285430026868, 0.0
136, 1.0, -22.63673410830052, 0.0
211, 1.0, -14.751921136662855, 0.0
134, 1.0, -6.1531261064330645, 0.0
133, 1.0, -6.112893625723773, 0.0
148, 1.0, -17.165152051225885, 0.0
240, 1.0, -15.107578410810918, 0.0
329, 1.0, -9.16197244996134, 0.0
193, 1.0, -16.884028991642495, 0.0
373, 1.0, -18.013348177733878, 0.0
118, 1.0, -11.02999531738778, 0.0
283, 1.0, -15.664901516740732, 0.0
246, 1.0, -12.370078489901358, 0.0
466, 1.0, -13.783119189463813, 0.0
38, 1.0, -8.179339805814632, 0.0
375, 1.0, -23.501121639358164, 0.0
188, 1.0, -22.205884152830208, 0.0
307, 1.0, -11.534661661234797, 0.0
199, 1.0, -18.60672774537812, 0.0
116, 1.0, -13.65352450788093, 0.0
378, 1.0, -10.814792813358176, 0.0
425, 1.0, -8.934468705076709, 0.0
376, 1.0, -13.853684626984377, 0.0
66, 1.0, -9.690985675025862, 0.0
411, 1.0, -10.385426524158001, 0.0
241, 1.0, -15.124091758886326, 0.0
301, 1.0, -10.529303189171292, 0.0
468, 1.0, -9.96901662646357, 0.0
18, 1.0, 1.1134842294685445, 0.0
455, 1.0, -19.6082769320375, 0.0
132, 1.0, -13.8450491841897, 0.0
29, 1.0, -23.158774169202957, 0.0
477, 1.0, -14.449907691298423, 0.0
78, 1.0, -6.599553503541624, 0.0
470, 1.0, -5.966455667445253, 0.0
388, 1.0, -4.476819081812898, 0.0
367, 1.0, -6.510747034775061, 0.0
382, 1.0, -13.981287492435381, 0.0
74, 1.0, -15.005081609949023, 0.0
402, 1.0, -6.123137275075556, 0.0
119, 1.0, -11.914475912044722, 0.0
236, 1.0, -14.442161336215376, 0.0
42, 1.0, -12.112662539018588, 0.0
33, 1.0, -16.82551998231446, 0.0
28, 1.0, -14.465044660476764, 0.0
52, 1.0, -12.206221986640204, 0.0
381, 1.0, -13.333789256261735, 0.0
439, 1.0, -12.699663478949853, 0.0
347, 1.0, -12.392658447754144, 0.0
121, 1.0, -23.184971720824482, 0.0
451, 1.0, -14.157176814059502, 0.0
497, 1.0, -3.8885658552030757, 0.0
290, 1.0, -7.078708622343677, 0.0
115, 1.0, -13.655142193232013, 0.0
395, 1.0, -4.476819081812898, 0.0
409, 1.0, -6.88438095156651, 0.0
314, 1.0, -14.465263372582509, 0.0
351, 1.0, -13.594941038904834, 0.0
163, 1.0, -18.5155315146378, 0.0
339, 1.0, -4.318338530433308, 0.0
481, 1.0, -22.224569594499872, 0.0
281, 1.0, -11.148979905789906, 0.0
58, 1.0, -9.908597074727409, 0.0
25, 1.0, -14.06016118291721, 0.0
114, 1.0, -13.65146165920799, 0.0
374, 1.0, -23.47152615971997, 0.0
166, 1.0, -5.996189651098579, 0.0
31, 1.0, -14.368820974006326, 0.0
274, 1.0, -7.518262478648373, 0.0
370, 1.0, -5.705922445169563, 0.0
206, 1.0, -13.922338803258576, 0.0
279, 1.0, -10.99501265151817, 0.0
280, 1.0, -11.00849549111074, 0.0
313, 1.0, -13.699080489970688, 0.0
364, 1.0, -13.824518823206486, 0.0
484, 1.0, -22.36496411319363, 0.0
44, 1.0, -20.291502014803065, 0.0
169, 1.0, -3.511010582240018, 0.0
129, 1.0, -11.88147253454339, 0.0
189, 1.0, -14.770210511708301, 0.0
150, 1.0, -11.936337180631016, 0.0
259, 1.0, -11.835981769197996, 0.0
94, 1.0, -13.640863698687392, 0.0
352, 1.0, -13.51312261729559, 0.0
288, 1.0, -23.060397378568393, 0.0
412, 1.0, -10.385426524158001, 0.0
429, 1.0, -13.616013632122224, 0.0
430, 1.0, -13.117592463403446, 0.0
479, 1.0, -22.594771953543038, 0.0
99, 1.0, -14.008850685721958, 0.0
207, 1.0, -13.938337153012329, 0.0
47, 1.0, -15.426413290174105, 0.0
330, 1.0, -14.074420635643813, 0.0
73, 1.0, -11.174991868297235, 0.0
82, 1.0, -8.534554836012363, 0.0
285, 1.0, -10.023771847875382, 0.0
310, 1.0, -11.662330628198067, 0.0
433, 1.0, -13.036024999532893, 0.0
406, 1.0, -11.091240745341043, 0.0
79, 1.0, -6.5999386138165255, 0.0
437, 1.0, -12.584273413614259, 0.0
216, 1.0, -11.259831006874085, 0.0
377, 1.0, -13.924792407532044, 0.0
84, 1.0, -16.048399478824425, 0.0
325, 1.0, -11.736729143012134, 0.0
104, 1.0, -14.361252230213175, 0.0
124, 1.0, -5.443020900049503, 0.0
238, 1.0, -14.898514196357084, 0.0
209, 1.0, -12.635507623677823, 0.0
185, 1.0, -6.891982252773605, 0.0
267, 1.0, -14.568220881382194, 0.0
70, 1.0, -11.232213991121172, 0.0
410, 1.0, -7.092048286547669, 0.0
427, 1.0, -10.761468712669041, 0.0
349, 1.0, -13.668540906652204, 0.0
391, 1.0, -4.476819081812898, 0.0
191, 1.0, -13.53027990245561, 0.0
8, 1.0, -20.72570497344345, 0.0
304, 1.0, -11.465023581026916, 0.0
338, 1.0, -4.241039821029921, 0.0
198, 1.0, -15.037985700755007, 0.0
64, 1.0, -23.550351912510436, 0.0
222, 1.0, -14.015542396448895, 0.0
343, 1.0, -14.878576681310282, 0.0
91, 1.0, -6.0951725222701505, 0.0
60, 1.0, -13.805898263184147, 0.0
158, 1.0, -22.689673784540652, 0.0
156, 1.0, -15.884327773954235, 0.0
229, 1.0, -9.421471262811114, 0.0
348, 1.0, -12.46250102403699, 0.0
498, 1.0, -4.152391679849237, 0.0
144, 1.0, 0.39807295099859397, 0.0
420, 1.0, -12.310854268794433, 0.0
220, 1.0, -14.032837306625327, 0.0
22, 1.0, -19.18938468685435, 0.0
11, 1.0, -14.075839218680969, 0.0
271, 1.0, -12.738010295535286, 0.0
383, 1.0, -14.004338636919961, 0.0
434, 1.0, -13.112555231791154, 0.0
324, 1.0, -11.627905886810762, 0.0
483, 1.0, -22.233335855706773, 0.0
277, 1.0, -22.736818748071677, 0.0
398, 1.0, -5.461228479126898, 0.0
16, 1.0, -3.508811663908249, 0.0
490, 1.0, -11.231415625993252, 0.0
331, 1.0, -14.126198766054975, 0.0
40, 1.0, -13.72928048405139, 0.0
72, 1.0, -11.18888603152418, 0.0
128, 1.0, -4.7621293534495965, 0.0
472, 1.0, -13.982779821504945, 0.0
145, 1.0, -1.770936273016257, 0.0
36, 1.0, -13.346408763899639, 0.0
95, 1.0, -6.158002553284219, 0.0
138, 1.0, -11.580931055405658, 0.0
336, 1.0, -11.669155524911806, 0.0
414, 1.0, -7.56850115754018, 0.0
294, 1.0, -12.815252481761743, 0.0
353, 1.0, -12.869113458577305, 0.0
232, 1.0, -19.244344886390195, 0.0
407, 1.0, -10.385426524158001, 0.0
-- generator section
i, id, p(MW), q(MVAR)
144, 1, 413.79713957308144, 0.0
482, 1, 11.735, 0.0
223, 1, 4.694, 0.0
433, 1, 1.7469999999999999, 0.0
82, 1, 94.379, 0.0
49, 1, 1.3, 0.0
437, 1, 51.37500000000001, 0.0
71, 1, 1.043, 0.0
456, 1, 0.0, 0.0
250, 1, 0.0, 0.0
439, 1, 51.37500000000001, 0.0
442, 1, 0.0, 0.0
73, 1, 0.365, 0.0
168, 1, 50.462, 0.0
198, 1, 207.29999999999998, 0.0
435, 1, 51.37500000000001, 0.0
414, 1, 111.1, 0.0
432, 1, 0.313, 0.0
167, 1, 50.462, 0.0
18, 1, 157.6, 0.0
410, 1, 136.95, 0.0
301, 1, 0.0, 0.0
16, 1, 0.0, 0.0
389, 1, 0.0, 0.0
225, 1, 134.253, 0.0
222, 1, 1.356, 0.0
443, 1, 0.0, 0.0
63, 1, 0.0, 0.0
362, 1, 0.0, 0.0
431, 1, 0.861, 0.0
265, 1, 0.0, 0.0
396, 1, 0.0, 0.0
390, 1, 0.0, 0.0
145, 1, 180.76, 0.0
275, 1, 0.0, 0.0
395, 1, 0.0, 0.0
436, 1, 51.37500000000001, 0.0
411, 1, 0.0, 0.0
127, 1, 42.248, 0.0
412, 1, 0.0, 0.0
264, 1, 0.0, 0.0
128, 1, 42.248, 0.0
444, 1, 0.0, 0.0
319, 1, 11.031, 0.0
197, 1, 204.18260362563694, 0.0
455, 1, 0.0, 0.0
254, 1, 0.0, 0.0
498, 1, 4.694, 0.0
392, 1, 0.0, 0.0
248, 1, 0.0, 0.0
169, 1, 100.925, 0.0
361, 1, 0.0, 0.0
413, 1, 0.0, 0.0
306, 1, 0.626, 0.0
126, 1, 42.248, 0.0
481, 1, 11.735, 0.0
9, 1, 231.54, 0.0
458, 1, 0.0, 0.0
255, 1, 0.0, 0.0
484, 1, 7.3020000000000005, 0.0
480, 1, 14.604000000000001, 0.0
351, 1, 1.617, 0.0
302, 1, 0.0, 0.0
17, 1, 851.3247416223688, 0.0
430, 1, 0.261, 0.0
231, 1, 0.0, 0.0
494, 1, 0.0, 0.0
50, 1, 2.6, 0.0
434, 1, 1.121, 0.0
256, 1, 0.0, 0.0
249, 1, 0.0, 0.0
72, 1, 0.522, 0.0
350, 1, 3.9120000000000004, 0.0
352, 1, 3.755, 0.0
224, 1, 133.315, 0.0
394, 1, 0.0, 0.0
438, 1, 51.37500000000001, 0.0
388, 1, 0.0, 0.0
409, 1, 100.0, 0.0
353, 1, 19.298, 0.0
258, 1, 0.0, 0.0
125, 1, 42.248, 0.0
391, 1, 0.0, 0.0
497, 1, 15.647, 0.0
363, 1, 0.0, 0.0
393, 1, 0.0, 0.0
483, 1, 6.259, 0.0
257, 1, 0.0, 0.0
305, 1, 0.261, 0.0
463, 1, 0.0, 0.0
